,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
176,,h,NS,Male,10,8.333333333,83.33333333,91.66666667,91.66666667,100,100,83.33333333,75,75,75,66.66666667,
177,,h,NS,Female,2,0,33.33333333,8.333333333,,,,,,27.27272727,8.333333333,0,
178,,h,NS,Female,2,0,33.33333333,0,,,,,,18.18181818,0,0,
179,,h,NS,Female,2,0,16.66666667,25,,,,,,0,0,0,
180,,h,NS,Female,2,0,83.33333333,81.81818182,,,,,,33.33333333,33.33333333,18.18181818,
181,,h,NS,Female,2,0,50,0,,,,,,8.333333333,0,9.090909091,
182,,h,NS,Female,2,0,66.66666667,75,,,,,,16.66666667,16.66666667,8.333333333,
183,,l,ELS,Male,2,0,50,0,,,,,,8.333333333,8.333333333,0,
184,,l,ELS,Male,2,0,66.66666667,91.66666667,,,,,,58.33333333,41.66666667,50,
185,,h,ELS,Female,2,8.333333333,100,91.66666667,,,,,,58.33333333,16.66666667,50,
186,,h,ELS,Female,2,0,83.33333333,41.66666667,,,,,,25,16.66666667,0,
187,,h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,16.66666667,16.66666667,0,
188,,h,ELS,Female,2,0,33.33333333,66.66666667,,,,,,16.66666667,0,25,
189,,h,ELS,Female,2,0,66.66666667,100,,,,,,16.66666667,25,8.333333333,
190,,h,ELS,Female,2,0,100,8.333333333,,,,,,0,41.66666667,25,
191,,h,ELS,Female,10,0,66.66666667,91.66666667,91.66666667,91.66666667,58.33333333,75,8.333333333,41.66666667,15.38461538,33.33333333,
192,,h,ELS,Female,10,0,0,8.333333333,8.333333333,8.333333333,0,8.333333333,0,0,0,8.333333333,
193,,l,ELS,Male,10,0,83.33333333,58.33333333,58.33333333,25,25,8.333333333,0,8.333333333,15.38461538,16.66666667,
194,,l,ELS,Male,10,0,100,91.66666667,91.66666667,75,25,33.33333333,33.33333333,41.66666667,7.692307692,25,
195,,l,ELS,Male,10,0,83.33333333,0,0,0,0,50,0,0,0,16.66666667,
196,,l,ELS,Male,10,8.333333333,100,16.66666667,16.66666667,8.333333333,0,0,0,36.36363636,0,8.333333333,
197,,h,ELS,Female,10,0,66.66666667,50,50,25,33.33333333,8.333333333,16.66666667,0,0,16.66666667,
198,,h,ELS,Female,10,0,66.66666667,8.333333333,8.333333333,8.333333333,0,0,8.333333333,11.11111111,15.38461538,16.66666667,
199,,l,NS,Female,2,0,83.33333333,50,,,,,,75,23.07692308,0,
200,,l,NS,Female,2,0,50,0,,,,,,16.66666667,15.38461538,0,
201,,l,ELS,Male,2,0,83.33333333,8.333333333,,,,,,8.333333333,0,16.66666667,
202,,l,ELS,Male,2,8.333333333,66.66666667,41.66666667,,,,,,16.66666667,30.76923077,25,
203,,h,ELS,Female,10,0,83.33333333,41.66666667,41.66666667,25,16.66666667,91.66666667,33.33333333,41.66666667,38.46153846,0,
204,,h,ELS,Female,10,16.66666667,100,75,75,66.66666667,66.66666667,66.66666667,33.33333333,75,23.07692308,41.66666667,
205,,l,NS,Female,10,0,50,0,0,8.333333333,0,0,0,0,7.692307692,0,
206,,l,NS,Female,10,0,50,50,50,25,8.333333333,8.333333333,0,8.333333333,0,0,
207,,h,NS,Female,10,0,33.33333333,25,25,33.33333333,16.66666667,8.333333333,25,8.333333333,0,0,
208,,h,NS,Female,10,0,66.66666667,8.333333333,8.333333333,16.66666667,0,0,0,0,0,0,
209,,l,NS,Male,10,0,33.33333333,16.66666667,16.66666667,58.33333333,25,0,0,0,15.38461538,41.66666667,
210,,l,NS,Male,10,0,100,25,25,41.66666667,8.333333333,33.33333333,8.333333333,16.66666667,23.07692308,0,
211,,l,NS,Male,10,33.33333333,66.66666667,83.33333333,83.33333333,83.33333333,41.66666667,58.33333333,58.33333333,50,61.53846154,33.33333333,
212,,l,NS,Male,10,0,0,16.66666667,16.66666667,25,0,8.333333333,16.66666667,25,0,0,
213,,l,ELS,Female,10,0,33.33333333,0,0,0,0,0,8.333333333,0,7.692307692,0,
214,,l,ELS,Female,10,0,66.66666667,66.66666667,66.66666667,41.66666667,16.66666667,33.33333333,0,0,15.38461538,16.66666667,
215,,h,ELS,Male,2,15.38461538,66.66666667,69.23076923,,,,,,69.23076923,76.92307692,53.84615385,
216,,h,ELS,Male,2,0,75,46.15384615,,,,,,69.23076923,7.692307692,23.07692308,
217,,h,ELS,Male,2,0,33.33333333,76.92307692,,,,,,76.92307692,53.84615385,92.30769231,
218,,h,ELS,Male,2,0,50,23.07692308,,,,,,38.46153846,15.38461538,0,
219,,h,ELS,Male,2,30.76923077,83.33333333,53.84615385,,,,,,46.15384615,15.38461538,15.38461538,
220,,h,ELS,Male,2,0,100,30.76923077,,,,,,23.07692308,23.07692308,0,
