"","Shock","Stress","Sex","Condition","ID","timepoint","percentage"
"264","h","NS","Female","10","53","ext4_curve",8.333333333
"265","h","NS","Female","10","53","ext5_curve",33.33333333
"266","h","NS","Female","10","54","ext1_curve",76.92307692
"267","h","NS","Female","10","54","ext2_curve",100
"268","h","NS","Female","10","54","ext3_curve",100
"269","h","NS","Female","10","54","ext4_curve",83.33333333
"270","h","NS","Female","10","54","ext5_curve",66.66666667
"271","h","ELS","Female","10","55","ext1_curve",76.92307692
"272","h","ELS","Female","10","55","ext2_curve",33.33333333
"273","h","ELS","Female","10","55","ext3_curve",16.66666667
"274","h","ELS","Female","10","55","ext4_curve",0
"275","h","ELS","Female","10","55","ext5_curve",58.33333333
"276","h","ELS","Female","10","56","ext1_curve",53.84615385
"277","h","ELS","Female","10","56","ext2_curve",33.33333333
"278","h","ELS","Female","10","56","ext3_curve",25
"279","h","ELS","Female","10","56","ext4_curve",33.33333333
"280","h","ELS","Female","10","56","ext5_curve",8.333333333
"281","h","ELS","Female","10","57","ext1_curve",46.15384615
"282","h","ELS","Female","10","57","ext2_curve",25
"283","h","ELS","Female","10","57","ext3_curve",0
"284","h","ELS","Female","10","57","ext4_curve",0
"285","h","ELS","Female","10","57","ext5_curve",0
