Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
h,ELS,Female,10,0,66.66666667,50,50,25,33.33333333,8.333333333,16.66666667,0,0,16.66666667
h,ELS,Female,10,0,66.66666667,8.333333333,8.333333333,8.333333333,0,0,8.333333333,11.11111111,15.38461538,16.66666667
l,NS,Female,2,0,83.33333333,50,,,,,,75,23.07692308,0
l,NS,Female,2,0,50,0,,,,,,16.66666667,15.38461538,0
l,ELS,Male,2,0,83.33333333,8.333333333,,,,,,8.333333333,0,16.66666667
l,ELS,Male,2,8.333333333,66.66666667,41.66666667,,,,,,16.66666667,30.76923077,25
h,ELS,Female,10,0,83.33333333,41.66666667,41.66666667,25,16.66666667,91.66666667,33.33333333,41.66666667,38.46153846,0
h,ELS,Female,10,16.66666667,100,75,75,66.66666667,66.66666667,66.66666667,33.33333333,75,23.07692308,41.66666667
l,NS,Female,10,0,50,0,0,8.333333333,0,0,0,0,7.692307692,0
l,NS,Female,10,0,50,50,50,25,8.333333333,8.333333333,0,8.333333333,0,0
h,NS,Female,10,0,33.33333333,25,25,33.33333333,16.66666667,8.333333333,25,8.333333333,0,0
h,NS,Female,10,0,66.66666667,8.333333333,8.333333333,16.66666667,0,0,0,0,0,0
l,NS,Male,10,0,33.33333333,16.66666667,16.66666667,58.33333333,25,0,0,0,15.38461538,41.66666667
l,NS,Male,10,0,100,25,25,41.66666667,8.333333333,33.33333333,8.333333333,16.66666667,23.07692308,0
l,NS,Male,10,33.33333333,66.66666667,83.33333333,83.33333333,83.33333333,41.66666667,58.33333333,58.33333333,50,61.53846154,33.33333333
l,NS,Male,10,0,0,16.66666667,16.66666667,25,0,8.333333333,16.66666667,25,0,0
l,ELS,Female,10,0,33.33333333,0,0,0,0,0,8.333333333,0,7.692307692,0
l,ELS,Female,10,0,66.66666667,66.66666667,66.66666667,41.66666667,16.66666667,33.33333333,0,0,15.38461538,16.66666667
h,ELS,Male,2,15.38461538,66.66666667,69.23076923,,,,,,69.23076923,76.92307692,53.84615385
h,ELS,Male,2,0,75,46.15384615,,,,,,69.23076923,7.692307692,23.07692308
h,ELS,Male,2,0,33.33333333,76.92307692,,,,,,76.92307692,53.84615385,92.30769231
h,ELS,Male,2,0,50,23.07692308,,,,,,38.46153846,15.38461538,0
h,ELS,Male,2,30.76923077,83.33333333,53.84615385,,,,,,46.15384615,15.38461538,15.38461538
h,ELS,Male,2,0,100,30.76923077,,,,,,23.07692308,23.07692308,0
h,ELS,Female,2,0,50,15.38461538,,,,,,30.76923077,7.692307692,61.53846154
h,ELS,Female,2,0,0,69.23076923,,,,,,7.692307692,0,0
h,ELS,Female,2,8.333333333,83.33333333,75,,,,,,53.84615385,23.07692308,30.76923077
h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,15.38461538,0,0
h,ELS,Female,2,0,100,61.53846154,,,,,,38.46153846,38.46153846,84.61538462
h,ELS,Female,2,7.692307692,100,69.23076923,,,,,,38.46153846,30.76923077,7.692307692
h,ELS,Male,10,0,83.33333333,61.53846154,61.53846154,53.84615385,23.07692308,15.38461538,0,23.07692308,23.07692308,0
h,ELS,Male,10,0,83.33333333,69.23076923,69.23076923,69.23076923,46.15384615,0,0,7.692307692,23.07692308,0
h,ELS,Male,10,0,100,84.61538462,84.61538462,46.15384615,61.53846154,61.53846154,87.5,46.15384615,23.07692308,38.46153846
h,ELS,Male,10,0,83.33333333,84.61538462,84.61538462,76.92307692,38.46153846,15.38461538,0,30.76923077,0,23.07692308
h,ELS,Male,10,0,83.33333333,83.33333333,83.33333333,84.61538462,69.23076923,23.07692308,50,53.84615385,38.46153846,15.38461538
h,ELS,Male,10,0,50,50,50,76.92307692,7.692307692,23.07692308,0,0,23.07692308,15.38461538
